Issue Number,Date Published,English[0],English[1],Farsi[0],Farsi[1],Arabic[0],Arabic[1]
1,2017-06-24,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-01-english.pdf,,,,
2,2017-06-25,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-02-english.pdf,,,,
3,2017-06-26,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-03-english.pdf,,,,
4,2017-06-27,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-04-english.pdf,,,,
5,2017-06-28,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-05-english.pdf,,,,
6,2017-06-29,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-06-english.pdf,,,,
7,2017-06-30,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-07-english.pdf,,,,
8,2017-07-01,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-08-english.pdf,,,,
9,2017-07-03,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-09-english.pdf,,,,
10,2017-07-04,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-10-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-10-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-10-arabic.pdf
11,2017-07-05,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-11-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-11-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-11-arabic.pdf
12,2017-07-06,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-12-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-12-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-12-arabic.pdf
13,2017-07-07,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-13-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-13-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-13-arabic.pdf
14,2017-07-08,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-14-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-14-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-14-arabic.pdf
15,2017-07-11,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-15-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-15-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-15-arabic.pdf
16,2017-07-12,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-16-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-16-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-16-arabic.pdf
17,2017-07-13,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-17-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-17-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-17-arabic.pdf
18,2017-07-14,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-18-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-18-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-18-arabic.pdf
19,2017-07-15,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-19-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-19-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-19-arabic.pdf
20,2017-07-18,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-20-english.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-20-farsi.pdf,,https://data.verifiedjoseph.com/files/grenfell-news-response/grenfell-response-news-issue-20-arabic.pdf
21,2017-07-19,,,,,,
22,2017-07-20,,,,,,
23,2017-07-21,,,,,,
24,2017-07-22,,,,,,
25,2017-07-25,,,,,,
26,2017-07-26,,,,,,
27,2017-07-27,,,,,,
28,2017-07-28,,,,,,
29,2017-07-29,,,,,,
30,2017-08-01,,,,,,
31,2017-08-02,,,,,,
32,2017-08-03,,,,,,
33,2017-08-04,,,,,,
